entry_time,exit_time,direction,leg,pnl,exit_hit
2026-05-06 16:19:00+00:00,2026-05-06 16:20:00+00:00,short,partial,-0.8428147539624368,partial_tp
2026-05-06 16:19:00+00:00,2026-05-06 16:25:00+00:00,short,remainder,-1.6768499279853168,ema21_close
2026-05-07 21:21:00+00:00,2026-05-07 21:21:00+00:00,short,partial,-0.8454556942619128,partial_tp
2026-05-07 21:21:00+00:00,2026-05-07 21:26:00+00:00,short,remainder,-1.5334045198149684,ema21_close
2026-05-08 18:25:00+00:00,2026-05-08 18:25:00+00:00,long,full,-5.536552949909924,init_sl
2026-05-09 11:47:00+00:00,2026-05-09 11:47:00+00:00,long,full,-3.5796044935280467,init_sl
2026-05-09 11:49:00+00:00,2026-05-09 11:49:00+00:00,long,full,-3.578172651730635,init_sl
2026-05-10 09:21:00+00:00,2026-05-10 09:22:00+00:00,long,remainder,-2.262569231937715,ema21_close
2026-05-10 09:39:00+00:00,2026-05-10 09:39:00+00:00,long,remainder,-2.2904393118301907,ema21_close
2026-05-11 17:00:00+00:00,2026-05-11 17:00:00+00:00,short,full,-5.531222909005412,init_sl
2026-05-12 19:06:00+00:00,2026-05-12 19:06:00+00:00,long,partial,-0.8445110180870673,partial_tp
2026-05-12 19:06:00+00:00,2026-05-12 19:07:00+00:00,long,remainder,0.5159286208519036,runner_resistance
2026-05-12 20:35:00+00:00,2026-05-12 20:35:00+00:00,long,full,-5.449848760905674,init_sl
2026-05-15 20:39:00+00:00,2026-05-15 20:39:00+00:00,short,remainder,-1.7753757153839071,ema21_close
2026-05-16 13:41:00+00:00,2026-05-16 13:41:00+00:00,long,full,-4.711759801411552,init_sl
2026-05-16 15:51:00+00:00,2026-05-16 15:52:00+00:00,long,full,-3.8626950527341237,init_sl
2026-05-16 16:14:00+00:00,2026-05-16 16:14:00+00:00,long,full,-2.4656248175054016,init_sl
2026-05-16 16:16:00+00:00,2026-05-16 16:16:00+00:00,long,full,-2.4649429477704494,init_sl
2026-05-17 07:41:00+00:00,2026-05-17 07:41:00+00:00,long,remainder,-1.8411190807790414,runner_resistance
2026-05-17 07:43:00+00:00,2026-05-17 07:43:00+00:00,long,remainder,-1.8505659887257762,runner_resistance
2026-05-17 07:45:00+00:00,2026-05-17 07:45:00+00:00,long,remainder,-1.8501815859051396,runner_resistance
2026-05-17 07:47:00+00:00,2026-05-17 07:47:00+00:00,long,remainder,-1.8497972629333321,runner_resistance
2026-05-17 07:49:00+00:00,2026-05-17 07:49:00+00:00,long,remainder,-1.8494130197937684,runner_resistance
2026-05-17 07:51:00+00:00,2026-05-17 07:51:00+00:00,long,remainder,-1.849028856469865,runner_resistance
2026-05-17 07:53:00+00:00,2026-05-17 07:53:00+00:00,long,remainder,-1.8486447729450426,runner_resistance
2026-05-17 07:55:00+00:00,2026-05-17 07:55:00+00:00,long,remainder,-1.8482607692027253,runner_resistance
2026-05-17 07:57:00+00:00,2026-05-17 07:57:00+00:00,long,remainder,-1.798811963528232,ema21_close
2026-05-21 07:40:00+00:00,2026-05-21 07:43:00+00:00,short,remainder,-2.6560026958189713,ema21_close
2026-05-21 16:38:00+00:00,2026-05-21 16:38:00+00:00,long,remainder,-2.3196014504842557,ema21_close
2026-05-21 16:54:00+00:00,2026-05-21 16:54:00+00:00,long,remainder,-1.7975131525082988,ema21_close
2026-05-22 20:01:00+00:00,2026-05-22 20:02:00+00:00,short,partial,-0.8007968800013376,partial_tp
2026-05-22 20:01:00+00:00,2026-05-22 20:02:00+00:00,short,remainder,-0.9191815358830342,runner_support
2026-05-24 20:41:00+00:00,2026-05-24 20:41:00+00:00,long,remainder,-2.8775641375018077,runner_resistance
2026-05-24 20:44:00+00:00,2026-05-24 20:47:00+00:00,long,remainder,-1.933704930792649,ema21_close
2026-05-26 20:23:00+00:00,2026-05-26 20:23:00+00:00,long,remainder,-2.711289319395335,runner_resistance
2026-05-27 16:54:00+00:00,2026-05-27 16:54:00+00:00,long,remainder,-2.5125758844580455,ema21_close
2026-05-27 17:00:00+00:00,2026-05-27 17:01:00+00:00,long,full,-5.461824550533584,init_sl
